                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.0829,                0.84669,                0.94257,                0.61811,                0.37956,                0.36501,                0.24131,                 1.3713,                 1.8227,                 1.1051,               0.000557,               0.000557,               0.000557
                     58,                  1.089,                0.84985,                0.94687,                0.62992,                0.40364,                0.37489,                0.25547,                 1.3663,                 1.7016,                 1.1139,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.0804,                0.82368,                0.94496,                0.68246,                0.36497,                0.37238,                0.25288,                  1.337,                 1.7481,                 1.0942,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.0751,                0.82074,                0.94362,                0.65405,                0.37531,                 0.3629,                0.24934,                 1.3482,                 1.7473,                 1.0909,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.0614,                0.79619,                 0.9267,                0.67095,                0.37885,                0.37168,                0.25384,                 1.3349,                 1.7767,                 1.0935,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0483,                0.78258,                0.93079,                0.69689,                0.36072,                0.36776,                0.25255,                 1.3248,                 1.7362,                 1.0791,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0439,                0.78727,                0.93416,                0.68585,                0.35171,                0.36234,                0.24197,                 1.3396,                 1.7622,                 1.0954,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.0459,                0.79649,                0.93466,                 0.6524,                0.36447,                0.36186,                0.24324,                 1.3552,                 1.8057,                 1.1095,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.0313,                0.76914,                0.92697,                0.71434,                0.34044,                0.36934,                 0.2548,                 1.3553,                 1.8231,                 1.0992,               0.000458,               0.000458,               0.000458
                     66,                 1.0355,                0.77992,                0.92592,                0.73264,                0.35586,                0.38004,                0.25326,                 1.3573,                 1.7272,                 1.0946,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0322,                 0.7821,                0.92152,                0.71327,                0.34359,                0.35865,                0.23674,                 1.3859,                 1.8168,                 1.1267,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0213,                0.76513,                0.92467,                 0.6975,                0.35983,                0.36959,                0.24608,                 1.3734,                 1.8632,                 1.1125,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.0125,                0.73616,                0.92228,                0.70463,                0.37288,                0.36747,                0.24106,                  1.348,                 1.8265,                 1.1002,              0.0004085,              0.0004085,              0.0004085
                     70,                  1.006,                0.74599,                0.92217,                0.72069,                0.33715,                 0.3572,                0.23616,                 1.3519,                 1.7795,                 1.1204,             0.00039613,             0.00039613,             0.00039613
                     71,                0.98783,                0.73167,                0.91116,                0.63027,                0.37796,                0.36204,                0.23993,                 1.3649,                  1.856,                  1.108,             0.00038375,             0.00038375,             0.00038375
